entity_id,state,last_changed
sensor.reason,"Home battery discharging 3010W, stopping car",2026-03-31T13:25:01.076Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T13:25:31.071Z
sensor.reason,"Battery discharging, holding minimum, count 2/3",2026-03-31T13:26:01.074Z
sensor.reason,"Home battery discharging 3141W, stopping car",2026-03-31T13:26:31.075Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T13:27:01.072Z
sensor.reason,"Battery discharging, holding minimum, count 2/3",2026-03-31T13:27:31.073Z
sensor.reason,"Home battery discharging 3237W, stopping car",2026-03-31T13:28:01.073Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T13:28:31.072Z
sensor.reason,"Battery discharging, holding minimum, count 2/3",2026-03-31T13:29:01.072Z
sensor.reason,"Home battery discharging 3257W, stopping car",2026-03-31T13:29:31.073Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T13:30:01.071Z
sensor.reason,"Battery discharging, holding minimum, count 2/3",2026-03-31T13:30:31.072Z
sensor.reason,"Home battery discharging 3159W, stopping car",2026-03-31T13:31:01.078Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T13:31:31.074Z
sensor.reason,"Battery discharging, holding minimum, count 2/3",2026-03-31T13:32:01.071Z
sensor.reason,"Home battery discharging 3030W, stopping car",2026-03-31T13:32:31.072Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T13:33:01.072Z
sensor.reason,"Battery discharging, holding minimum, count 2/3",2026-03-31T13:33:31.072Z
sensor.reason,"Home battery discharging 2911W, stopping car",2026-03-31T13:34:01.073Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T13:34:31.072Z
sensor.reason,"Battery discharging, holding minimum, count 2/3",2026-03-31T13:35:01.071Z
sensor.reason,"Home battery discharging 2773W, stopping car",2026-03-31T13:35:31.073Z
sensor.reason,"Battery discharging, holding minimum, count 1/3",2026-03-31T13:36:01.074Z
sensor.reason,"Battery discharging, holding minimum, count 2/3",2026-03-31T13:36:31.072Z
sensor.reason,"Home battery discharging 2879W, stopping car",2026-03-31T13:37:01.073Z
sensor.reason,Home battery 93.0% below 98% — filling first (export 866W),2026-03-31T13:37:31.074Z
sensor.reason,Home battery 93.0% below 98% — filling first (export 0W),2026-03-31T13:38:01.072Z
sensor.reason,Home battery 94.0% below 98% — filling first (export 0W),2026-03-31T13:40:31.072Z
